DistrictId,SourceUrl,SourceFile,FiscalYear,FteType,GradeLevel,Fte
37,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2443.60009765625
38,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,456.20001220703125
39,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,104.5
40,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,231
41,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,3225.389892578125
42,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,3094.159912109375
43,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,1327.969970703125
44,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,556.1099853515625
45,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,861.5
46,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2450.18994140625
47,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,479.760009765625
48,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,13517.3701171875
49,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,3540.81005859375
50,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,12313.8798828125
51,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,4803.47021484375
52,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,7027.72021484375
53,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,7713.52978515625
54,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,956.2000122070312
55,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2306.43994140625
56,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2589.6298828125
57,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,1865
58,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,2714.75
59,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,4342.22021484375
60,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,474.2099914550781
61,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,470.8500061035156
62,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,265.42999267578125
63,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,226.38999938964844
64,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,4464.27001953125
65,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,381
66,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,742.97998046875
67,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,261.79998779296875
68,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,0
69,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,52.150001525878906
70,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,54
71,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,145.5
72,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,96
73,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,90
74,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,54
75,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,0
99,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,0,189519.125
1,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,2230.85009765625
2,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,430.75
3,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,2043.530029296875
4,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,1,253.63999938964844
